,Spot,Up,Down
8610,245.100006,166.2,30.0
8611,224.009995,204.22,30.0
8612,222.149994,159.09,24.0
8613,220.839996,142.49,25.0
8614,228.110001,130.36,27.0
8615,179.119995,151.36,30.0
8616,115.699997,129.96,129.96
8617,115.760002,95.17,95.17
8618,153.830002,97.2,97.2
8619,133.259995,93.16,93.16
8620,126.660004,91.55,91.55
8621,130.240005,91.58,91.58
8622,132.240005,93.19,93.19
8623,162.5,100.0,100.0
8624,174.389999,100.08,100.08
8625,185.940002,141.45,141.45
8626,199.350006,143.32,143.32
8627,202.809998,169.14,169.14
8628,199.399994,182.92,182.92
8629,193.729996,198.3,185.0
8630,193.300003,195.66,160.0
8631,193.389999,193.73,45.0
8632,195.649994,193.3,40.0
8633,217.550003,193.39,80.69
8634,210.580002,195.65,50.0
8635,207.75,217.55,55.0
8636,190.690002,210.58,210.58
8637,155.490005,207.75,207.75
8638,144.899994,190.69,190.69
8639,100.080002,155.49,155.49
8640,95.790001,144.9,144.9
8641,86.230003,100.08,100.08
8642,81.360001,95.79,95.79
8643,78.959999,94.99,94.99
8644,76.040001,91.18,91.18
8645,97.529999,98.38,98.38
8646,110.050003,126.42,126.42
8647,134.110001,120.48,120.48
8648,165.610001,129.94,129.94
8649,199.970001,211.0,145.51
8650,204.970001,217.5,197.55
8651,200.119995,217.5,199.97
8652,210.039993,216.0,204.97
8653,200.179993,217.5,200.12
8654,188.429993,217.5,210.04
8655,188.429993,216.0,200.18
8656,186.190002,209.91,188.43
8657,205.0,200.0,188.43
8658,207.100006,193.18,193.18
8659,196.050003,210.0,205.0
8660,161.330002,207.1,185.0
8661,111.050003,196.05,158.0
8662,113.050003,161.33,150.0
8663,87.0,122.91,122.91
8664,74.400002,119.98,119.98
8665,59.990002,95.04,95.04
8666,46.919998,105.5,34.98
8667,37.110001,96.55,34.98
8668,38.790001,88.97,36.48
8669,48.599998,95.22,36.48
8670,75.589996,103.84,36.48
8671,101.959999,146.2,48.47
8672,122.230003,138.85,138.85
8673,142.960007,149.96,115.0
8674,142.160004,160.06,115.0
8675,135.160004,142.96,121.03
8676,126.589996,147.98,147.98
8677,118.199997,157.0,148.0
8678,126.889999,157.5,126.59
8679,145.610001,157.5,128.95
8680,144.899994,157.5,145.0
8681,145.0,160.0,148.93
8682,150.059998,164.5,144.9
8683,149.889999,180.0,145.0
8684,139.089996,180.0,150.06
8685,125.220001,174.92,149.89
8686,127.68,164.5,139.09
8687,110.080002,152.0,125.22
8688,112.059998,150.5,127.68
8689,93.269997,140.0,110.08
8690,94.370003,140.02,109.37
8691,90.82,135.28,91.04
8692,94.010002,134.17,92.11
8693,117.629997,113.54,90.82
8694,139.979996,101.35,94.01
8695,188.0,117.63,117.63
8696,200.0,140.12,139.98
8697,203.449997,215.0,177.45
8698,204.199997,260.0,200.0
8699,204.380005,260.0,203.45
8700,205.610001,204.2,204.2
8701,205.619995,204.38,204.38
8702,205.699997,205.61,182.5
8703,200.0,205.62,184.0
8704,195.990005,205.7,184.0
8705,203.440002,205.0,200.0
8706,183.929993,210.0,195.99
8707,163.630005,210.0,203.44
8708,130.059998,376.54,183.93
8709,108.639999,376.54,163.63
8710,106.339996,189.23,130.06
8711,83.349998,150.0,108.64
8712,73.080002,148.0,106.34
8713,47.860001,141.43,83.35
8714,33.119999,94.0,73.08
8715,25.559999,119.0,47.86
8716,27.84,33.12,30.93
8717,42.060001,25.79,25.29
8718,54.57,27.84,27.84
8719,97.260002,155.0,42.06
8720,103.370003,133.0,56.74
8721,93.599998,97.26,97.26
8722,98.059998,103.37,103.37
8723,95.550003,93.6,93.6
8724,97.230003,98.06,98.06
8725,88.75,95.55,95.55
8726,81.699997,97.23,97.23
8727,75.440002,88.75,88.75
8728,81.919998,125.0,81.7
8729,91.980003,110.0,75.44
8730,89.980003,107.0,81.92
8731,80.0,91.98,91.98
8732,54.59,89.98,89.98
8733,55.0,139.0,80.0
8734,53.5,120.0,54.59
8735,50.130001,190.0,84.62
8736,30.040001,200.0,87.72
8737,26.15,200.0,52.23
8738,25.120001,190.0,30.04
8739,24.01,110.0,26.15
8740,24.809999,133.0,25.12
8741,24.43,133.0,24.01
8742,27.18,150.0,39.11
8743,30.34,151.0,66.54
8744,32.639999,151.0,67.03
8745,35.220001,87.03,87.03
